,Выгрузка банкетов за март 2026,,,,,,,,,,
,Hello Park Селигерская,,,,,,,,,,
,,,,,,,,,,,
,,Резюме,Сумма,% от продаж,Кол-во,% от кол-ва,Комментарии,,,,
,,Общие ,2 504 938,100%,47,100%,,,,,
,,Анимация,202 412,8%,22,47%,,,,,
,,Билеты,315 619,13%,,,,,,,
,,Блюда и напитки,673 837,27%,,,,,,,
,,Праздники прочее,45 750,2%,,,"Продление пати-рума, пиньята, фонтан, шары, выбор костюма",,,,
,,Пакет ДР,1 011 800,40%,22,47%,"Всего 22 пакета (базовый 8, премиум 13, эксклюзив 1), остальные ДР заказываются как банкеты в ресторане",,,,
,,Оператор,3 000,0%,,,,,,,
,,Товары касса,15 460,1%,,,,,,,
,,Торт,108 960,4%,13,28%,,,,,
,,Фотоуслуги ,128 100,5%,19,40%,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Номер строки,Номер чека,Блюдо,Банкет,Категория блюда,Учетный день,Чеков,"Средняя цена, р.","Сумма без скидки, р.","Сумма скидки, р.","Сумма со скидкой, р.",Количество блюд
49,325,Аква минерали 2 л,Да,Холодные напитки,07.03.2026,1,390,780,0,780,2
50,325,Ассам,Да,Горячие напитки,07.03.2026,1,350,700,0,700,2
51,325,Без  газа,Да,Холодные напитки,07.03.2026,1,0,0,0,0,2
52,325,Билет банкетный В,Да,Билеты,07.03.2026,1,2 390,14 340,0,14 340,6
53,325,Билет Именниник В,Да,Билеты,07.03.2026,1,1 190,1 190,0,1 190,1
54,325,Браслет голубой безлимит,Да,Браслет,07.03.2026,1,0,0,0,0,1
55,325,Браслет красный банкетный,Да,Браслет,07.03.2026,1,0,0,0,0,6
56,325,Гляссе,Да,Горячие напитки,07.03.2026,1,280,840,0,840,3
57,325,"Интер.игра ""Поздравление""",Да,Прадники прочее,07.03.2026,1,1 500,1 500,0,1 500,1
58,325,Интерактивная АП до 10 детей 1 час,Да,Анимация,07.03.2026,1,8 000,8 000,0,8 000,1
59,325,Куриные наггетсы с картошкой фри,Да,Детское меню,07.03.2026,1,540,4 320,0,4 320,8
60,325,Латте,Да,Горячие напитки,07.03.2026,1,250,250,0,250,1
61,325,Овощной котенок,Да,Детское меню,07.03.2026,1,430,860,0,860,2
62,325,Пицца 4 сыра со сливочным соусом,Да,Пицца,07.03.2026,1,890,890,0,890,1
63,325,Пицца пепперони,Да,Пицца,07.03.2026,1,820,1 640,0,1 640,2
64,325,Салат со страчителлой и томатами,Да,Салаты,07.03.2026,1,880,880,0,880,1
65,325,Свеча цифра,Да,Шары,07.03.2026,1,150,150,0,150,1
66,325,Сок яблочный 1 л,Да,Холодные напитки,07.03.2026,1,620,1 860,0,1 860,3
67,325,Торт  1 категории,Да,Торт,07.03.2026,1,4 200,8 400,0,8 400,2
68,325,Фото А5 (до 5 шт),Да,Фотоуслуги,07.03.2026,1,800,800,0,800,1
69,325,Фруктовый зайчик,Да,Детское меню,07.03.2026,1,530,1 060,0,1 060,2
70,325,Шар гелевый,Да,Товары касса,07.03.2026,1,210,1 260,0,1 260,6
71,325,Эрл Грей,Да,Горячие напитки,07.03.2026,1,350,350,0,350,1
72,347,Анимация Принцессы Дисней,Да,Анимация,10.03.2026,1,0,0,0,0,1
73,347,Базовый Будни,Да,Праздники,10.03.2026,1,24 900,24 900,0,24 900,1
